name,popularity,bike_latitude,bike_longitude,free_bikes,empty_slots,review_count,rating,distance,category
26 Viet Cafe,0.0,49.238105,-123.154966,4,14,12,4.4,428.0,Vietnamese
41 Noodle & Rice Pot House,0.0,49.238105,-123.154966,4,14,51,4.1,477.0,Chinese
41 West,0.8472929379299623,49.238105,-123.154966,4,14,0,,483.0,Bakery
Adonia Tea House,0.9460271807428712,49.238105,-123.154966,4,14,0,3.1,385.0,Coffee Shop
Ajisai 2 Go,0.9626750618627488,49.238105,-123.154966,4,14,0,,487.0,Sushi Restaurant
Ajisai Sushi Bar,0.9572855532667418,49.238105,-123.154966,4,14,0,4.35,468.0,Sushi Restaurant
Asa Japanese Restaurant,0.9710832134945004,49.238105,-123.154966,4,14,0,2.8,454.0,Sushi Restaurant
Asa Sushi,0.0,49.238105,-123.154966,4,14,135,3.0,455.0,Sushi Bars
BBT Cafe,0.0,49.238105,-123.154966,4,14,62,3.0,786.0,Taiwanese
Baan Wasana Thai Restaurant,0.977858965888038,49.238105,-123.154966,4,14,74,3.725,392.0,Thai Restaurant
Baogette Bistro,0.4144221177141228,49.238105,-123.154966,4,14,0,,416.0,Restaurant
Baoguette Vietnamese Bistro,0.9704354360190188,49.238105,-123.154966,4,14,78,3.175,411.5,Vietnamese Restaurant
Barra 41,0.0,49.238105,-123.154966,4,14,27,4.3,602.0,Mediterranean
Big Way Hot Pot,0.0,49.238105,-123.154966,4,14,19,4.3,397.0,Hot Pot
Boba Boy,0.7354347234637957,49.238105,-123.154966,4,14,0,,454.0,Bubble Tea Shop
Bocconcino Deli,0.7166103100262997,49.238105,-123.154966,4,14,0,,443.0,Deli
Bubble Waffle Cafe,0.3837304209258035,49.238105,-123.154966,4,14,0,,456.0,Cantonese Restaurant
Bufala,0.0,49.238105,-123.154966,4,14,162,3.5,91.0,Pizza
Burrata Pizzeria,0.8728671926619768,49.238105,-123.154966,4,14,24,4.0,416.5,Pizzeria
Butter Baked Goods & Cafe,0.0,49.238105,-123.154966,4,14,100,3.5,1208.0,Cafes
Caffe Artigiano,0.9620531954862864,49.238105,-123.154966,4,14,0,3.3,441.0,Café
Chef Hung Taiwanese Beef Noodle,0.8971070257944991,49.238105,-123.154966,4,14,0,,444.0,Noodle Restaurant
China Lan Beef Noodle,0.9456644253566014,49.238105,-123.154966,4,14,0,,238.0,Chinese Restaurant
China Lan Lanzhou Beef Noodle,0.0,49.238105,-123.154966,4,14,51,3.7,244.0,Noodles
Chunyang Tea 春陽茶事,0.7526526487620973,49.238105,-123.154966,4,14,0,,59.0,Bubble Tea Shop
Cobs Bread,0.9363105186106468,49.238105,-123.154966,4,14,0,,454.0,Bakery
Comebuy - Kerrisdale,0.4902250378949823,49.238105,-123.154966,4,14,0,,57.0,Bubble Tea Shop
Dairy Queen - West 41st Avenue,0.0,49.238105,-123.154966,4,14,14,2.9,492.0,Ice Cream & Frozen Yogurt
Donair Dude,0.0,49.238105,-123.154966,4,14,3,4.3,410.0,Mediterranean
Faubourg,0.0,49.238105,-123.154966,4,14,201,3.5,441.0,Bakeries
Fish Café,0.4499980566675735,49.238105,-123.154966,4,14,70,3.5,392.0,Fish and Chips Shop
Flying Wedge,0.5232357780455258,49.238105,-123.154966,4,14,0,,376.0,Pizzeria
Golden Ocean Seafood Restaurant,0.9875108502727143,49.238105,-123.154966,4,14,106,3.65,424.0,Chinese Restaurant
Hanppy Cafe,0.0237345667016466,49.238105,-123.154966,4,14,0,,226.0,Hotpot Restaurant
Homeslice Cafe & Bakery,0.0,49.238105,-123.154966,4,14,6,4.3,50.0,Cafes
Honolulu Coffee,0.9830411856918913,49.238105,-123.154966,4,14,80,3.9749999999999996,413.5,Café
HuLuLu,0.921994636402503,49.238105,-123.154966,4,14,0,,472.0,Dessert Shop
Irashai Sushi,0.0,49.238105,-123.154966,4,14,52,3.0,512.0,Japanese
Jess' Restaurant,0.0,49.238105,-123.154966,4,14,50,3.9,414.0,Korean
Jin Wei Kitchen,0.0,49.238105,-123.154966,4,14,8,4.1,57.0,Chinese
Jiu Jiang Japanese Restaurant,0.0,49.238105,-123.154966,4,14,30,3.9,616.0,Japanese
Kerrisdale Nakamura,0.0,49.238105,-123.154966,4,14,42,3.3,393.0,Japanese
Kerrisdale Nakamura Japanese Cuisine,0.8973790923342013,49.238105,-123.154966,4,14,0,,390.0,Japanese Restaurant
Khao Thai By Legato,0.0,49.238105,-123.154966,4,14,27,4.1,506.0,Thai
Kokoro Tokyo Mazesoba,0.9756824335704198,49.238105,-123.154966,4,14,34,4.1,475.5,Ramen Restaurant
Kyuzo Japanese Restaurant,0.0,49.238105,-123.154966,4,14,26,3.2,1167.0,Japanese
La Buca Restaurant,0.0,49.238105,-123.154966,4,14,68,4.0,1686.0,Italian
La Cuisson Cafe,0.909518442224727,49.238105,-123.154966,4,14,49,3.3,438.5,Coffee Shop
La Vita,0.4479510798450516,49.238105,-123.154966,4,14,0,,484.0,Italian Restaurant
Legato Tea and Coffee,0.0,49.238105,-123.154966,4,14,16,4.3,495.0,Cafes
Lok's Chinese Restaurant,0.0,49.238105,-123.154966,4,14,39,2.9,650.0,Chinese
Lu Er Dao Bakery,0.829997279334603,49.238105,-123.154966,4,14,0,,315.0,Bakery
Magi Cream Ice Ltd,0.3009315040097425,49.238105,-123.154966,4,14,0,,425.0,Restaurant
McDonald's,0.9987821783460944,49.238105,-123.154966,4,14,54,2.25,369.5,Burger Joint
Me + Crepe,0.0,49.238105,-123.154966,4,14,17,3.8,666.0,Chinese
Michele Cake Shop,0.9710443468459716,49.238105,-123.154966,4,14,0,3.7,737.0,Bakery
Minerva Pizza & Steak House,0.9891043828623992,49.238105,-123.154966,4,14,0,4.25,602.0,Pizzeria
Minerva Restaurant,0.0,49.238105,-123.154966,4,14,131,3.7,610.0,Pizza
Moki's Pizza,0.0,49.238105,-123.154966,4,14,33,4.4,1682.0,Pizza
Moore's Bakery & Delicatessen,0.0,49.238105,-123.154966,4,14,30,4.1,422.0,Bakeries
Myst Asian Bistro,0.0,49.238105,-123.154966,4,14,9,3.7,442.0,Asian Fusion
Nana's Green Tea,0.9504579786751656,49.238105,-123.154966,4,14,0,3.35,394.0,"Cafe, Coffee, and Tea House"
Neptune Eats,0.0,49.238105,-123.154966,4,14,14,2.4,419.0,Dim Sum
Orange Corner,0.0,49.238105,-123.154966,4,14,62,2.6,461.0,Creperies
Pizzeria Bufala,0.957492842058896,49.238105,-123.154966,4,14,0,4.1,90.0,Pizzeria
Ramen DANBO,0.0,49.238105,-123.154966,4,14,15,4.7,476.0,Ramen
Rocanini,0.9035070672522576,49.238105,-123.154966,4,14,0,3.45,354.0,Coffee Shop
Sandeul,0.0,49.238105,-123.154966,4,14,10,4.0,722.0,Korean
Secret Garden Tea,0.0,49.238105,-123.154966,4,14,123,3.7,308.0,Tea Rooms
Secret Garden Tea Co,0.962247528728931,49.238105,-123.154966,4,14,0,3.95,242.0,Tea Room
Shota Sushi,0.9754751447782658,49.238105,-123.154966,4,14,0,3.35,403.0,Sushi Restaurant
Shota Sushi and Grill,0.0,49.238105,-123.154966,4,14,7,3.9,403.0,Japanese
Sofra Mediterannean Kitchen,0.0894321582649928,49.238105,-123.154966,4,14,0,3.65,461.0,Mediterranean Restaurant
Sofra Mediterranean Kitchen,0.3299908015598481,49.238105,-123.154966,4,14,0,,470.0,Theme Restaurant
Southern Delicacy,0.0,49.238105,-123.154966,4,14,23,4.3,754.0,Chinese
Subway,0.9475170689364788,49.238105,-123.154966,4,14,0,3.1,312.0,Deli
Sugarcane Vietnamese Cafe,0.8983507585474237,49.238105,-123.154966,4,14,0,,324.0,Sushi Restaurant
Sushi Bar Ajisai,0.0,49.238105,-123.154966,4,14,430,4.1,472.0,Sushi Bars
Sushi King House,0.910256908546776,49.238105,-123.154966,4,14,0,,59.0,Sushi Restaurant
Sweet E's Pastries & Sweets,0.8745384585487194,49.238105,-123.154966,4,14,0,,440.0,Bakery
The Kurtosh Cafe,0.3548784121678521,49.238105,-123.154966,4,14,0,,473.0,Café
The Patty Shop,0.0,49.238105,-123.154966,4,14,118,4.4,1692.0,Caribbean
Tim Hortons,0.9839092075090364,49.238105,-123.154966,4,14,0,3.4,430.0,"Cafe, Coffee, and Tea House"
Unkai Sushi,0.8682809281355669,49.238105,-123.154966,4,14,0,,58.0,Sushi Restaurant
Vanlimo Limousine Service,0.0,49.238105,-123.154966,4,14,35,4.2,1822.0,Limos
Vegan Shoku,0.0,49.238105,-123.154966,4,14,27,4.4,512.0,Japanese
