distance,name,popularity,rating,latitude,longitude,category,bike_latitude,bike_longitude
308,Kingyo Izakaya,0.9795172762252711,9.1,49.290643,-123.136956,Sushi Restaurant,49.291909,-123.140713
385,Legendary Noodle House,0.9736225011983883,8.6,49.288425,-123.139849,Chinese Restaurant,49.291909,-123.140713
393,Nook,0.9409874719836242,8.4,49.29174,-123.135346,Italian Restaurant,49.291909,-123.140713
592,Cactus Club Cafe,0.9824711415134673,9.0,49.28666,-123.14278,Mexican Restaurant,49.291909,-123.140713
542,Hokkaido Ramen Santouka,0.9700338139842202,8.7,49.290258,-123.13384,Ramen Restaurant,49.291909,-123.140713
596,CRAFT Beer Market English Bay,0.9862412064207703,8.6,49.286629,-123.14221,Beer Bar,49.291909,-123.140713
537,Marutama Ra-men,0.9892728050060243,8.3,49.290515,-123.133538,Ramen Restaurant,49.291909,-123.140713
869,The Inukshuk,0.9911254485859018,9.2,49.284303,-123.143552,Public Art,49.291909,-123.140713
488,Dinesty Chinese Restaurant,0.9762395221993341,8.1,49.290752,-123.134045,Shanghai Restaurant,49.291909,-123.140713
760,Greenhorn Cafe,0.9546296656172671,8.7,49.286624,-123.133935,Café,49.291909,-123.140713
677,Saku,0.9744646119165145,8.4,49.291333,-123.134825,Japanese Restaurant,49.291909,-123.140713
632,JJ Bean Coffee Roasters,0.9656289271509451,8.3,49.286217,-123.140552,Coffee Shop,49.291909,-123.140713
983,Ramen Danbo - Robson,0.9960226463005428,9.0,49.287499,-123.12898,Ramen Restaurant,49.291909,-123.140713
298,Blenz Coffee,0.9758638112635547,7.6,49.290242,-123.137571,Coffee Shop,49.291909,-123.140713
968,Cardero's Restaurant & Marine Pub,0.9793747651806651,8.7,49.291138,-123.127408,Bar,49.291909,-123.140713
407,D'oro Gelato e Caffè,0.9524790443986682,7.7,49.288276,-123.139917,Ice Cream Parlor,49.291909,-123.140713
740,Sura,0.9646572609377226,8.1,49.288894,-123.131696,Korean Restaurant,49.291909,-123.140713
625,Red Umbrella Cafe,0.9664062601215231,7.9,49.286418,-123.140245,Café,49.291909,-123.140713
496,Marble Slab Creamery,0.946208558436006,7.6,49.287329,-123.141459,Ice Cream Parlor,49.291909,-123.140713
557,The Park at English Bay,0.9854250068016635,7.6,49.286922,-123.140937,Pub,49.291909,-123.140713
872,H Tasting Lounge,0.9892339383574954,7.9,49.29228,-123.128821,Lounge,49.291909,-123.140713
934,Chez Cora,0.9757213002189488,8.0,49.287551,-123.129634,Restaurant,49.291909,-123.140713
822,Lift Bar Grill View,0.9476336688820657,7.8,49.293655,-123.129687,Lounge,49.291909,-123.140713
955,Soirette,0.9528677108839572,7.9,49.289866,-123.127803,Bakery,49.291909,-123.140713
371,Stanley Park Brewing Restaurant & Brewpub,0.9735447679013305,7.3,49.292295,-123.146508,Brewery,49.291909,-123.140713
850,H2 Kitchen + Bar,0.9829245857463045,7.7,49.292136,-123.129133,Restaurant,49.291909,-123.140713
299,A&W Restaurant,0.9628434840063741,7.1,49.28964,-123.138493,American Restaurant,49.291909,-123.140713
407,Banana Leaf,0.9711220801430293,7.1,49.291374,-123.13499,Malay Restaurant,49.291909,-123.140713
537,The Calling Public House,0.9610037959760063,7.3,49.287036,-123.141839,Pub,49.291909,-123.140713
798,Breaking Bean,0.9779626102841152,7.5,49.291395,-123.129719,Café,49.291909,-123.140713
370,Nat's Pizzeria,0.9228497026701388,6.9,49.2886,-123.140107,Pizzeria,49.291909,-123.140713
350,Breka Bakery and Cafe,0.9912031818829595,6.9,49.291338,-123.135961,Café,49.291909,-123.140713
995,Casa Dolce Gelato & Coffee,0.9522976667055333,7.4,49.290849,-123.127076,"Cafe, Coffee, and Tea House",49.291909,-123.140713
312,Tim Hortons,0.9802816536463395,6.5,49.289295,-123.139112,"Cafe, Coffee, and Tea House",49.291909,-123.140713
325,Milano Espresso Bar and Gelato,0.9741407231787736,6.2,49.290973,-123.136497,Café,49.291909,-123.140713
656,Blenz Coffee,0.9773148328086336,6.3,49.289661,-123.132329,Coffee Shop,49.291909,-123.140713
180,Chi Men,0.8355422545247256,,49.290293,-123.140901,Fujian Restaurant,49.291909,-123.140713
702,Chongqing Liuyishou HotPot Restaurant,0.956469353647635,6.1,49.288997,-123.13211,Szechuan Restaurant,49.291909,-123.140713
320,Habibi Donair,0.7317164807545312,,49.291029,-123.136502,Middle Eastern Restaurant,49.291909,-123.140713
341,Sushi Aboard,0.9508725562594738,,49.288945,-123.139488,Sushi Restaurant,49.291909,-123.140713
357,Holy Guacamole,0.8859522976667056,,49.291524,-123.135814,Mexican Restaurant,49.291909,-123.140713
364,Shizenya on Denman,0.681073237721378,,49.288657,-123.140112,Sushi Restaurant,49.291909,-123.140713
608,Yummy to Go,0.9730135903714356,5.8,49.286439,-123.140328,Sushi Restaurant,49.291909,-123.140713
395,Thai House Restaurant,0.2634510992783759,,49.288348,-123.140653,Thai Restaurant,49.291909,-123.140713
398,Kitaya,0.05051368753805693,,49.288369,-123.139844,Sushi Restaurant,49.291909,-123.140713
398,Big Bang Sushi,0.4647414720095353,,49.288327,-123.140571,Sushi Restaurant,49.291909,-123.140713
415,Jingle Bao,0.9664710378690712,,49.291544,-123.135005,Shanghai Restaurant,49.291909,-123.140713
485,Vonns,0.9220464586005416,,49.287576,-123.141561,Burger Joint,49.291909,-123.140713
485,Morton Park,0.9895319159962169,,49.287622,-123.14197,Restaurant,49.291909,-123.140713
500,Cobs Bread,0.961159262570122,,49.290453,-123.134182,Bakery,49.291909,-123.140713
304,Sushiyama,0.973635456747898,8.5,49.262968,-123.0972,Sushi Restaurant,49.262321,-123.09306
378,AJ's Brooklyn Pizza Joint,0.9871740059854639,8.4,49.262989,-123.098175,Pizzeria,49.262321,-123.09306
566,Osteria Savio Volpe,0.9518053558241673,8.9,49.257425,-123.09097,Italian Restaurant,49.262321,-123.09306
615,Matchstick Coffee,0.9786492544081257,8.9,49.257296,-123.090229,Café,49.262321,-123.09306
