distance,name,rating,review_count,latitude,longitude,category,bike_latitude,bike_longitude
296,Kingyo,4.4,1241,49.29073911099211,-123.13705023185994,Japanese,49.291909,-123.140713
523,Guu with Garlic,4.3,1105,49.290249,-123.1338142,Japanese,49.291909,-123.140713
155,Robba da Matti West End,3.9,93,49.29172,-123.13857,Italian,49.291909,-123.140713
357,Tavola,4.4,395,49.2918164,-123.1357186,Italian,49.291909,-123.140713
333,Zakkushi on Denman,4.2,274,49.291208,-123.136248,Japanese,49.291909,-123.140713
296,Peaked Pies,4.4,219,49.2896489,-123.1384797,Australian,49.291909,-123.140713
551,Maruhachi Ra-men,4.3,794,49.2905691,-123.1333951,Ramen,49.291909,-123.140713
683,Saku,4.5,480,49.289223,-123.132266,Japanese,49.291909,-123.140713
388,Nook,4.2,335,49.2917554,-123.1352974,Italian,49.291909,-123.140713
307,Damso Modern Korean Cuisine,3.9,216,49.290631652856824,-123.13696164681824,Korean,49.291909,-123.140713
422,Jingle Bao,4.1,215,49.291609,-123.134917,Asian Fusion,49.291909,-123.140713
429,España Restaurant,4.2,262,49.2880552,-123.1404114,Spanish,49.291909,-123.140713
1403,Joe Fortes Seafood & Chop House,4.0,1387,49.284968691771624,-123.12455980835064,Seafood,49.291909,-123.140713
359,Ukrainian Village,4.1,181,49.2914123,-123.1358196,Ukrainian,49.291909,-123.140713
474,Dinesty Dumpling House,3.9,1017,49.2908176,-123.1343912,Chinese,49.291909,-123.140713
1270,Hello Nori ,4.5,285,49.28559747478766,-123.1261163,Japanese,49.291909,-123.140713
734,Sura Korean Cuisine,4.1,467,49.2888601838143,-123.131742169312,Korean,49.291909,-123.140713
1577,Teahouse in Stanley Park,4.1,470,49.3012529987012,-123.157079257071,Seafood,49.291909,-123.140713
293,Jungle Room,3.9,39,49.289897,-123.138111,Cocktail Bars,49.291909,-123.140713
674,The Red Accordion,4.6,123,49.29025,-123.131768,Cocktail Bars,49.291909,-123.140713
534,Hokkaido Ramen Santouka,4.2,1011,49.290236,-123.133811,Ramen,49.291909,-123.140713
512,Nero Waffles,4.3,681,49.2907208,-123.1339952,Desserts,49.291909,-123.140713
985,Ramen Danbo - Robson,4.4,707,49.2874959131639,-123.128934167326,Ramen,49.291909,-123.140713
1322,Kosoo,4.3,140,49.28494,-123.12592,Korean,49.291909,-123.140713
407,Noah's Cafe,4.7,49,49.28827635407216,-123.1400279,Japanese,49.291909,-123.140713
1896,The Mexican Antojitos Y Cantina,4.3,422,49.2787726,-123.1240268,Mexican,49.291909,-123.140713
1839,Sushi Jin,4.6,151,49.2795794102629,-123.123817518353,Japanese,49.291909,-123.140713
1826,Tendon Kohaku,4.3,186,49.28107123873706,-123.12179426645872,Japanese,49.291909,-123.140713
1283,Tom Sushi,4.7,309,49.2815608,-123.1327476,Sushi Bars,49.291909,-123.140713
954,Cardero's Restaurant & Marine Pub,3.9,728,49.2914561357511,-123.127575841549,Seafood,49.291909,-123.140713
1337,Tableau Bar Bistro,4.0,313,49.287494,-123.1235689,Bars,49.291909,-123.140713
1154,Score on Davie,4.3,372,49.2823221457395,-123.134614739512,Sports Bars,49.291909,-123.140713
1149,Horin Tonkotsu Ramen ,4.2,188,49.28617,-123.12749,Ramen,49.291909,-123.140713
1639,JOEY Burrard,4.1,651,49.282606,-123.1231879,Canadian (New),49.291909,-123.140713
1533,Le Crocodile Restaurant,4.3,482,49.2825393,-123.1252052,French,49.291909,-123.140713
389,Legendary Noodle House,3.7,248,49.2883958,-123.13983,Chinese,49.291909,-123.140713
1681,Fat Mao Noodles,4.4,92,49.27982129999999,-123.1267997,Noodles,49.291909,-123.140713
422,Banana Leaf,3.6,188,49.2914,-123.13492,Malaysian,49.291909,-123.140713
401,Tetsu Sushi Bar,4.3,106,49.2917758,-123.1352662,Japanese,49.291909,-123.140713
467,Noodle Arts,4.2,88,49.29111,-123.13431,Chinese,49.291909,-123.140713
1409,Guu Original Thurlow,4.1,824,49.2839786648396,-123.125567978574,Japanese,49.291909,-123.140713
409,Kintaro Ramen,3.8,845,49.2916373,-123.135091,Ramen,49.291909,-123.140713
