distance_foursquare,name,popularity,rating_foursquare,latitude_foursquare,longitude_foursquare,category_foursquare,bike_latitude,bike_longitude,free_bikes,empty_slots,distance_yelp,rating_yelp,review_count,latitude_yelp,longitude_yelp,category_yelp
,26 Viet Cafe,,,,,,49.238105,-123.154966,4,14,428.0,4.4,12.0,49.23441000834219,-123.1533231,Vietnamese
,41 Noodle & Rice Pot House,,,,,,49.238105,-123.154966,4,14,477.0,4.1,51.0,49.2348,-123.15925,Chinese
483.0,41 West,0.8472929379299623,,49.234772,-123.159256,Bakery,49.238105,-123.154966,4,14,,,,,,
385.0,Adonia Tea House,0.9460271807428712,6.2,49.234731,-123.15374,Coffee Shop,49.238105,-123.154966,4,14,,,,,,
487.0,Ajisai 2 Go,0.9626750618627488,,49.233773,-123.153901,Sushi Restaurant,49.238105,-123.154966,4,14,,,,,,
468.0,Ajisai Sushi Bar,0.9572855532667418,8.7,49.233959,-123.153755,Sushi Restaurant,49.238105,-123.154966,4,14,,,,,,
454.0,Asa Japanese Restaurant,0.9710832134945004,5.6,49.234499,-123.157935,Sushi Restaurant,49.238105,-123.154966,4,14,,,,,,
,Asa Sushi,,,,,,49.238105,-123.154966,4,14,455.0,3.0,135.0,49.2345051,-123.1579902,Sushi Bars
,BBT Cafe,,,,,,49.238105,-123.154966,4,14,786.0,3.0,62.0,49.2310505335525,-123.155708312988,Taiwanese
393.0,Baan Wasana Thai Restaurant,0.977858965888038,7.5,49.234757,-123.156742,Thai Restaurant,49.238105,-123.154966,4,14,391.0,3.7,74.0,49.23485,-123.15675,Thai
416.0,Baogette Bistro,0.4144221177141228,,49.234422,-123.156064,Restaurant,49.238105,-123.154966,4,14,,,,,,
410.0,Baoguette Vietnamese Bistro,0.9704354360190188,6.9,49.234479,-123.156069,Vietnamese Restaurant,49.238105,-123.154966,4,14,413.0,2.9,78.0,49.2344772440628,-123.156188763678,Vietnamese
,Barra 41,,,,,,49.238105,-123.154966,4,14,602.0,4.3,27.0,49.23482,-123.16161,Mediterranean
,Big Way Hot Pot,,,,,,49.238105,-123.154966,4,14,397.0,4.3,19.0,49.234727,-123.156726,Hot Pot
454.0,Boba Boy,0.7354347234637957,,49.234499,-123.157935,Bubble Tea Shop,49.238105,-123.154966,4,14,,,,,,
443.0,Bocconcino Deli,0.7166103100262997,,49.234752,-123.158281,Deli,49.238105,-123.154966,4,14,,,,,,
456.0,Bubble Waffle Cafe,0.3837304209258035,,49.234917,-123.158944,Cantonese Restaurant,49.238105,-123.154966,4,14,,,,,,
,Bufala,,,,,,49.238105,-123.154966,4,14,91.0,3.5,162.0,49.2374125128053,-123.155639817237,Pizza
419.0,Burrata Pizzeria,0.8728671926619768,,49.234381,-123.155899,Pizzeria,49.238105,-123.154966,4,14,414.0,4.0,24.0,49.234438899163656,-123.1559334,Pizza
