distance,name,rating,review_count,latitude,longitude,category
135,Hawksworth Restaurant,4.0,713,49.2833971,-123.1191704,Canadian (New)
231,Boulevard,4.0,317,49.2827182,-123.123884,Seafood
198,Tendon Kohaku,4.3,186,49.28107123873706,-123.12179426645872,Japanese
212,Italian Kitchen,3.8,731,49.2825685,-123.1236112,Italian
181,JOEY Burrard,4.1,651,49.282606,-123.1231879,Canadian (New)
155,Bacchus Restaurant & Lounge,4.1,216,49.28232,-123.12281,Lounges
377,Joe Fortes Seafood & Chop House,4.0,1387,49.284968691771624,-123.12455980835064,Seafood
239,Hy's Steakhouse & Cocktail Bar,4.0,386,49.28468,-123.11927,Steakhouses
260,Black & Blue,3.5,804,49.2845587688053,-123.122869190308,Steakhouses
280,Thierry,4.0,1019,49.2848818,-123.1228949,Patisserie/Cake Shop
726,Miku,4.4,2457,49.28691298612272,-123.11304877258942,Japanese
366,Medina Cafe,4.2,2748,49.2804429972571,-123.117036269849,Breakfast & Brunch
35,1931 Gallery Bistro,3.7,59,49.2830721,-123.1208098,Breakfast & Brunch
327,Le Crocodile Restaurant,4.3,482,49.2825393,-123.1252052,French
344,Cactus Club Cafe,4.1,536,49.28554081466174,-123.11881637137162,Canadian (New)
381,Guu Original Thurlow,4.1,824,49.2839786648396,-123.125567978574,Japanese
1274,Guu with Garlic,4.3,1105,49.290249,-123.1338142,Japanese
285,Coast Restaurant,3.6,676,49.284914,-123.1234737,Seafood
212,ZUBU - Downtown,4.0,41,49.28200687636412,-123.12342465140536,Ramen
660,Fanny Bay Oyster Bar & Shellfish Market,4.4,913,49.2787525,-123.1138689,Seafood
334,JINYA Ramen Bar - Vancouver Downtown,3.9,487,49.28031515071204,-123.1179057,Ramen
171,Reflections The Garden Terrace,3.5,157,49.28356,-123.11893,Canadian (New)
508,Hello Nori ,4.5,285,49.28559747478766,-123.1261163,Japanese
127,Notch8 Restaurant & Bar,3.6,214,49.28383897137475,-123.12050066982682,Bars
350,Gotham Steakhouse & Bar,4.1,461,49.28290359590047,-123.115883832301,Steakhouses
141,O Sushi,3.4,102,49.2819929953922,-123.119085901441,Sushi Bars
414,Sushi Jin,4.6,151,49.2795794102629,-123.123817518353,Japanese
224,Diva At the Met,3.7,126,49.28391,-123.1185,Seafood
859,The Flying Pig - Yaletown,4.0,1397,49.27501,-123.122,Canadian (New)
341,Alouette Bistro,4.3,113,49.2853,-123.11829,French
349,Shizen Ya,4.2,604,49.2808844,-123.1246278,Japanese
196,The Lennox Pub,3.5,148,49.2810599,-123.11969,Pubs
1485,Kingyo,4.4,1241,49.29073911099211,-123.13705023185994,Japanese
414,Kokoro Tokyo Mazesoba,4.1,506,49.2833927,-123.115078,Japanese
217,The Roof,3.7,91,49.2843582,-123.1222877,Seafood
728,Blue Water Cafe,4.4,1160,49.2761945,-123.1209935,Seafood
252,Earls Kitchen + Bar,3.6,315,49.28153637059821,-123.12368905939982,Canadian (New)
78,Faubourg,3.4,185,49.2830902204043,-123.121585475241,Bakeries
114,Big Way Hot Pot,4.1,34,49.281753,-123.120701,Hot Pot
291,Glowbal,3.2,595,49.2815627886161,-123.117092920094,Canadian (New)
478,Hydra Estiatorio,3.9,191,49.2856276,-123.1160679,Mediterranean
800,Five Sails Restaurant,4.3,223,49.2880313351364,-123.113292160758,French
554,Lupo,4.3,482,49.278222058049096,-123.11735347768747,Italian
258,Pacifico Pizzeria & Ristorante,3.5,294,49.281796224692,-123.123983242799,Pizza
497,The Mexican Antojitos Y Cantina,4.3,422,49.2787726,-123.1240268,Mexican
792,Cactus Club Cafe,4.2,985,49.28963138752227,-123.11817709999995,Canadian (New)
268,Mosaic Bar & Grille,3.8,122,49.28510553155195,-123.12054525582856,Canadian (New)
819,Robba da Matti,4.2,544,49.2753397,-123.1208967,Italian
326,The Keg Steakhouse + Bar - Dunsmuir,3.8,213,49.283455277246034,-123.11635967248964,Seafood
1107,Saku,4.5,480,49.289223,-123.132266,Japanese
